dataset,dataset_label,player,player_key,signal,target,horizon,n,pearson_r,spearman_r,slope_pp_per_unit,hac_t,hac_p,bucket_n,bucket_top_n,bucket_bottom_n,bucket_top_avg,bucket_bottom_avg,bucket_top_minus_bottom,bucket_top_hit,bucket_bottom_hit,bucket_top_avg_drawdown,bucket_bottom_avg_drawdown,abs_spearman,top_minus_bottom_abs,evidence,evidence_rank
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,flow4_z,NASDAQ-100,1w,473,0.0726589097323608,0.037790073993503745,0.12385733830143655,1.7607703323058943,0.07827728314893108,473,142,142,0.513999871361125,0.14423022848585448,0.36976964287527053,64.7887323943662,52.816901408450704,-1.2081598616729652,-2.0135566138625154,0.037790073993503745,0.36976964287527053,weak/mixed,2
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,flow1_z,NASDAQ-100,4w,473,0.08371615281650521,0.043476683178713386,0.29683287629046007,1.7562543876047465,0.07904498177745635,473,142,142,1.5996170419368336,1.556471483010481,0.04314555892635252,66.90140845070422,64.08450704225352,-3.349480146159041,-3.8009457959911472,0.043476683178713386,0.04314555892635252,weak/mixed,2
legacy,Legacy,Noncommercial,noncommercial,net_z,NASDAQ-100,1w,477,-0.06536115749236147,-0.05763216315183214,-0.10750412643669703,-1.7230744068062473,0.08487507035077033,477,143,143,0.16878905309148706,0.627408455793445,-0.4586194027019579,57.34265734265735,62.93706293706294,-1.6773919863299305,-1.348719274705999,0.05763216315183214,0.4586194027019579,weak/mixed,2
tff,TFF Detailed,Non-reportable,non_reportable,trend26_z,NASDAQ-100,4w,448,-0.12452965116533454,-0.14410071811866998,-0.351657173394471,-1.6331049472902515,0.10244692628320134,448,135,135,0.9884533933477819,2.7999966796049307,-1.8115432862571488,62.22222222222222,77.03703703703704,-3.464168185217999,-3.103381957577587,0.14410071811866998,1.8115432862571488,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,trend26_z,NASDAQ-100,4w,448,-0.12452965116533454,-0.14410071811866998,-0.351657173394471,-1.6331049472902515,0.10244692628320134,448,135,135,0.9884533933477819,2.7999966796049307,-1.8115432862571488,62.22222222222222,77.03703703703704,-3.464168185217999,-3.103381957577587,0.14410071811866998,1.8115432862571488,weak/mixed,2
tff,TFF Detailed,Non-reportable,non_reportable,flow4_z,S&P 500,13w,461,-0.13258001761182445,-0.0625991663716836,-0.5028772534113221,-1.5934940124188068,0.11104941048609115,461,139,139,2.8617603135753416,4.27321436186635,-1.411454048291008,72.66187050359713,76.2589928057554,-4.658877476183808,-5.228474281167377,0.0625991663716836,1.411454048291008,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,flow4_z,S&P 500,13w,461,-0.13258001761182445,-0.0625991663716836,-0.5028772534113221,-1.5934940124188068,0.11104941048609115,461,139,139,2.8617603135753416,4.27321436186635,-1.411454048291008,72.66187050359713,76.2589928057554,-4.658877476183808,-5.228474281167377,0.0625991663716836,1.411454048291008,weak/mixed,2
tff,TFF Detailed,Non-reportable,non_reportable,trend26_z,NASDAQ-100,1w,451,-0.06887865268727573,-0.09486882640346915,-0.10290857092624968,-1.5914000287504053,0.1115195778681952,451,136,136,0.22817652836245705,0.6253327415783754,-0.3971562132159183,56.61764705882353,66.91176470588235,-1.5111467702198491,-1.600914707272975,0.09486882640346915,0.3971562132159183,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,trend26_z,NASDAQ-100,1w,451,-0.06887865268727573,-0.09486882640346915,-0.10290857092624968,-1.5914000287504053,0.1115195778681952,451,136,136,0.22817652836245705,0.6253327415783754,-0.3971562132159183,56.61764705882353,66.91176470588235,-1.5111467702198491,-1.600914707272975,0.09486882640346915,0.3971562132159183,weak/mixed,2
tff,TFF Detailed,Leveraged Funds,lev_money,trend13_z,S&P 500,26w,439,0.16414120518495953,0.21819543454641904,0.7991594255430771,1.5899202184940637,0.1118527896022419,439,132,132,9.09646375152045,5.057038438955517,4.039425312564933,81.81818181818183,75.75757575757575,-6.747277157178415,-7.012224168578567,0.21819543454641904,4.039425312564933,weak/mixed,2
legacy,Legacy,Commercial,commercial,net_z,S&P 500,4w,474,0.10314997353800694,0.09537765520660646,0.23480552856467554,1.5538032388085996,0.12023135776022469,474,142,142,1.3294912389696254,0.3900186782928475,0.939472560676778,69.01408450704226,62.676056338028175,-2.452344978175715,-3.264520715946971,0.09537765520660646,0.939472560676778,weak/mixed,2
tff,TFF Detailed,Dealer / Intermediary,dealer,trend13_z,NASDAQ-100,13w,452,0.2013706250566584,0.19566214314943198,1.0615543852119584,1.5499272608145842,0.12115897570224393,452,136,136,6.992612835022736,3.3391701416466306,3.653442693376105,71.32352941176471,71.32352941176471,-6.48401295598823,-6.405893105498886,0.19566214314943198,3.653442693376105,weak/mixed,2
legacy,Legacy,Commercial,commercial,trend13_z,NASDAQ-100,1w,464,0.06134467357534944,0.046382469602654255,0.09724029691417362,1.5128866694047178,0.13030844859522514,464,139,139,0.5105022050649407,0.4050112768093603,0.10549092825558043,61.15107913669065,58.992805755395686,-1.6132398386689675,-1.4826174690841272,0.046382469602654255,0.10549092825558043,weak/mixed,2
