dataset,dataset_label,player,player_key,target,horizon,winner,combined_source_label,combined_better_side,combined_side_edge_pp,combined_abs_side_edge_pp,combined_hac_p,combined_evidence,best_single_source,best_single_source_label,best_single_better_side,best_single_side_edge_pp,best_single_abs_side_edge_pp,best_single_hac_p,best_single_evidence,combined_minus_best_single_abs_edge_pp,combined_positive_avg_return,combined_negative_avg_return,best_single_positive_avg_return,best_single_negative_avg_return,winner_rank,strongest_abs_edge_pp
legacy,Legacy,Nonreportable,nonreportable,S&P 500,4w,single,Combined SP+NQ-VIX,negative,-0.42889442426048296,0.42889442426048296,0.47465410992286905,none,sp500,S&P 500 only,negative,-0.897790048357683,0.897790048357683,0.12110609564718262,weak/mixed,-0.4688956240972,0.9321855302484853,1.3610799545089682,0.7995165208286316,1.6973065691863145,1,0.897790048357683
tff,TFF Detailed,Leveraged Funds,lev_money,NASDAQ-100,13w,combined,Combined SP+NQ-VIX,negative,-5.026269896172027,5.026269896172027,0.31743380945285127,weak/mixed,sp500,S&P 500 only,negative,-4.104569212918585,4.104569212918585,0.4914997002201159,weak/mixed,0.9217006832534427,0.4526172340801098,5.478887130252137,1.2319955572506156,5.3365647701692005,0,5.026269896172027
tff,TFF Detailed,Leveraged Funds,lev_money,NASDAQ-100,1w,combined,Combined SP+NQ-VIX,negative,-0.6865548289142447,0.6865548289142447,0.24851568657621367,none,nq,NASDAQ-100 only,positive,0.09568731697929778,0.09568731697929778,0.725839929051094,none,0.5908675119349469,-0.2505085422145139,0.43604628669973083,0.4720780755090178,0.37639075852972004,0,0.6865548289142447
tff,TFF Detailed,Leveraged Funds,lev_money,NASDAQ-100,26w,combined,Combined SP+NQ-VIX,negative,-7.811505624495718,7.811505624495718,0.3893262418732887,weak/mixed,sp500,S&P 500 only,negative,-7.487615259385015,7.487615259385015,0.3444534856596272,weak/mixed,0.323890365110703,2.866794796226753,10.67830042072247,3.007706212482668,10.495321471867683,0,7.811505624495718
tff,TFF Detailed,Leveraged Funds,lev_money,NASDAQ-100,4w,combined,Combined SP+NQ-VIX,negative,-2.1771100216710404,2.1771100216710404,0.17467245466877457,weak/mixed,sp500,S&P 500 only,positive,0.571173922060241,0.571173922060241,0.7557155976606251,none,1.6059360996107994,-0.4686265046560869,1.7084835170149535,2.129915714003075,1.558741791942834,0,2.1771100216710404
tff,TFF Detailed,Leveraged Funds,lev_money,S&P 500,13w,combined,Combined SP+NQ-VIX,negative,-2.574859559903155,2.574859559903155,0.4130811325465795,weak/mixed,sp500,S&P 500 only,negative,-1.7202715282600545,1.7202715282600545,0.6642380345913952,weak/mixed,0.8545880316431005,1.0156756690007873,3.5905352289039425,1.7825895388836621,3.5028610671437166,0,2.574859559903155
tff,TFF Detailed,Leveraged Funds,lev_money,S&P 500,1w,combined,Combined SP+NQ-VIX,negative,-0.47341152174831724,0.47341152174831724,0.3786822253263468,none,nq,NASDAQ-100 only,positive,0.08139878796407335,0.08139878796407335,0.6918826400170395,none,0.3920127337842439,-0.1771579954880225,0.2962535262602948,0.33337528351810825,0.2519764955540349,0,0.47341152174831724
tff,TFF Detailed,Leveraged Funds,lev_money,S&P 500,26w,combined,Combined SP+NQ-VIX,negative,-5.098202573830902,5.098202573830902,0.38760074301093184,weak/mixed,sp500,S&P 500 only,negative,-3.971631898668532,3.971631898668532,0.4777416738633463,weak/mixed,1.1265706751623696,2.0068690888526395,7.105071662683541,2.9777731465587953,6.949405045227327,0,5.098202573830902
tff,TFF Detailed,Leveraged Funds,lev_money,S&P 500,4w,tie,Combined SP+NQ-VIX,negative,-1.3000004538673233,1.3000004538673233,0.40118847218126036,none,sp500,S&P 500 only,positive,1.1263073592813626,1.1263073592813626,0.42994434105660195,none,0.17369309458596072,-0.14973590295240347,1.1502645509149199,2.1573571829562175,1.0310498236748549,2,1.3000004538673233
tff,TFF Detailed,Non-reportable,non_reportable,NASDAQ-100,13w,single,Combined SP+NQ-VIX,negative,-1.2836514771539909,1.2836514771539909,0.5867376459320996,none,vix_inverse,"VIX only, inverted",negative,-2.523623812794347,2.523623812794347,0.15620070836440408,weak/mixed,-1.2399723356403562,4.7468992464565245,6.030550723610515,4.749363457844348,7.272987270638695,1,2.523623812794347
tff,TFF Detailed,Non-reportable,non_reportable,NASDAQ-100,1w,tie,Combined SP+NQ-VIX,negative,-0.20473875600091396,0.20473875600091396,0.43688666578649804,none,nq,NASDAQ-100 only,negative,-0.24453381975536148,0.24453381975536148,0.2845860457431341,none,-0.039795063754447524,0.3286731862459562,0.5334119422468702,0.26762439691042506,0.5121582166657865,2,0.24453381975536148
tff,TFF Detailed,Non-reportable,non_reportable,NASDAQ-100,26w,single,Combined SP+NQ-VIX,negative,-2.4198512025292978,2.4198512025292978,0.5025895390945323,weak/mixed,sp500,S&P 500 only,negative,-4.356291562664298,4.356291562664298,0.20282230939209214,weak/mixed,-1.9364403601350002,9.36501174032749,11.784862942856789,8.809944745577283,13.166236308241581,1,4.356291562664298
tff,TFF Detailed,Non-reportable,non_reportable,NASDAQ-100,4w,single,Combined SP+NQ-VIX,negative,-0.6282484780568907,0.6282484780568907,0.41553881405541454,none,sp500,S&P 500 only,negative,-1.2003630933180156,1.2003630933180156,0.10365273894807368,weak/mixed,-0.572114615261125,1.3729889328523326,2.0012374109092232,1.2137038800206408,2.4140669733386564,1,1.2003630933180156
tff,TFF Detailed,Non-reportable,non_reportable,S&P 500,13w,single,Combined SP+NQ-VIX,negative,-0.7024462336994435,0.7024462336994435,0.6729354208051627,none,vix_inverse,"VIX only, inverted",negative,-2.256902918832129,2.256902918832129,0.0932315655344538,tentative,-1.5544566851326853,3.200484474037724,3.9029307077371675,3.05302923814289,5.309932156975019,1,2.256902918832129
tff,TFF Detailed,Non-reportable,non_reportable,S&P 500,1w,tie,Combined SP+NQ-VIX,negative,-0.12473812054674399,0.12473812054674399,0.546528511568359,none,nq,NASDAQ-100 only,negative,-0.1948035273494496,0.1948035273494496,0.2781695345080125,none,-0.07006540680270562,0.2276116580540094,0.3523497786007534,0.16638345498228574,0.36118698233173535,2,0.1948035273494496
tff,TFF Detailed,Non-reportable,non_reportable,S&P 500,26w,single,Combined SP+NQ-VIX,negative,-1.08744798819456,1.08744798819456,0.6759748692943798,none,nq,NASDAQ-100 only,positive,3.9836798615056104,3.9836798615056104,0.012626031654373574,supported,-2.8962318733110504,6.4174276434070805,7.5048756316016405,8.96933178542966,4.985651923924049,1,3.9836798615056104
tff,TFF Detailed,Non-reportable,non_reportable,S&P 500,4w,single,Combined SP+NQ-VIX,negative,-0.42889442426048296,0.42889442426048296,0.47465410992286905,none,sp500,S&P 500 only,negative,-0.897790048357683,0.897790048357683,0.12110609564718262,weak/mixed,-0.4688956240972,0.9321855302484853,1.3610799545089682,0.7995165208286316,1.6973065691863145,1,0.897790048357683
tff,TFF Detailed,Other Reportables,other_reportable,NASDAQ-100,13w,tie,Combined SP+NQ-VIX,positive,1.3014455227966186,1.3014455227966186,0.6108542664404466,none,sp500,S&P 500 only,positive,1.2569092986626726,1.2569092986626726,0.5969410647152205,none,0.04453622413394598,6.215726192286251,4.914280669489632,6.197202841945168,4.940293543282495,2,1.3014455227966186
tff,TFF Detailed,Other Reportables,other_reportable,NASDAQ-100,1w,single,Combined SP+NQ-VIX,negative,-0.016611640004842054,0.016611640004842054,0.9541252275130234,none,vix_inverse,"VIX only, inverted",negative,-0.45762423175219663,0.45762423175219663,0.12927328099284852,weak/mixed,-0.4410125917473546,0.3828820785896346,0.39949371859447663,0.020292059325113663,0.4779162910773103,1,0.45762423175219663
tff,TFF Detailed,Other Reportables,other_reportable,NASDAQ-100,26w,single,Combined SP+NQ-VIX,positive,0.4977360583318937,0.4977360583318937,0.8914821810027467,none,nq,NASDAQ-100 only,negative,-2.603352025023007,2.603352025023007,0.4028154667204167,weak/mixed,-2.105615966691113,10.605841643953568,10.108105585621674,8.348082497271724,10.951434522294731,1,2.603352025023007
tff,TFF Detailed,Other Reportables,other_reportable,NASDAQ-100,4w,tie,Combined SP+NQ-VIX,positive,0.025791774027321468,0.025791774027321468,0.9777650150464685,none,sp500,S&P 500 only,negative,-0.2229655926369094,0.2229655926369094,0.819169712059813,none,-0.19717381860958794,1.600630750414349,1.5748389763870276,1.4027226828986268,1.6256882755355362,2,0.2229655926369094
tff,TFF Detailed,Other Reportables,other_reportable,S&P 500,13w,tie,Combined SP+NQ-VIX,positive,1.0970530560727583,1.0970530560727583,0.5489892458765869,none,sp500,S&P 500 only,positive,0.9687060879206206,0.9687060879206206,0.5539253746213031,none,0.12834696815213764,4.311118753616396,3.214065697543638,4.2218786856021335,3.253172597681513,2,1.0970530560727583
tff,TFF Detailed,Other Reportables,other_reportable,S&P 500,1w,single,Combined SP+NQ-VIX,negative,-0.00028816285829408317,0.00028816285829408317,0.998932831992418,none,vix_inverse,"VIX only, inverted",negative,-0.30796749336106144,0.30796749336106144,0.14773467615964916,weak/mixed,-0.30767933050276736,0.26833778142937054,0.2686259442876646,0.015797645531503177,0.32376513889256464,1,0.30796749336106144
tff,TFF Detailed,Other Reportables,other_reportable,S&P 500,26w,single,Combined SP+NQ-VIX,positive,0.9471928862290966,0.9471928862290966,0.7365170622756452,none,sp500,S&P 500 only,positive,1.2855629332822902,1.2855629332822902,0.6231445238472892,none,-0.3383700470531936,7.5667476670872205,6.619554780858124,7.861293746227705,6.575730812945415,1,1.2855629332822902
tff,TFF Detailed,Other Reportables,other_reportable,S&P 500,4w,tie,Combined SP+NQ-VIX,positive,0.18749623123541248,0.18749623123541248,0.7797758011900059,none,nq,NASDAQ-100 only,positive,0.20631864343165218,0.20631864343165218,0.7081235058202213,none,-0.018822412196239702,1.2207312101755239,1.0332349789401114,1.216690150123015,1.0103715066913628,2,0.20631864343165218
