dataset,dataset_label,player,player_key,signal,target,horizon,n,pearson_r,spearman_r,slope_pp_per_unit,hac_t,hac_p,bucket_n,bucket_top_n,bucket_bottom_n,bucket_top_avg,bucket_bottom_avg,bucket_top_minus_bottom,bucket_top_hit,bucket_bottom_hit,bucket_top_avg_drawdown,bucket_bottom_avg_drawdown,abs_spearman,top_minus_bottom_abs,evidence
tff,TFF Detailed,Dealer / Intermediary,dealer,trend13_raw_bn,NASDAQ-100,13w,505,0.15684746374100292,0.16075626196159992,0.052235721964487995,1.6702708590363782,0.09486578600960965,505,152,152,6.807304955174783,4.071884479217499,2.7354204759572838,71.05263157894737,73.68421052631578,-6.399531332060456,-5.682030886950824,0.16075626196159992,2.7354204759572838,tentative
tff,TFF Detailed,Dealer / Intermediary,dealer,trend13_raw_bn,NASDAQ-100,26w,492,0.01052721022436507,-0.07017231857499706,0.004758435761059584,0.08153626007808965,0.9350154894915554,492,148,148,9.334656057281766,12.390004897986408,-3.0553488407046423,68.91891891891892,92.56756756756756,-8.57515469431437,-7.559439539034536,0.07017231857499706,3.0553488407046423,weak/mixed
tff,TFF Detailed,Dealer / Intermediary,dealer,trend26_raw_bn,S&P 500,1w,504,0.01975777662830929,0.05031705101779705,0.0010502471558438953,0.48305059515339294,0.6290598121450918,504,151,151,0.2787334577277898,0.22134234955717547,0.057391108170614324,62.251655629139066,59.60264900662252,-1.3549511771901173,-1.0394968470604242,0.05031705101779705,0.057391108170614324,none
tff,TFF Detailed,Dealer / Intermediary,dealer,trend26_raw_bn,S&P 500,4w,501,0.043735681053702825,0.06366982369921512,0.004516097523246446,0.6884443047219417,0.49117303190855544,501,151,151,1.4575135913210528,0.5114005764776837,0.9461130148433692,71.52317880794702,66.88741721854305,-2.77556937163907,-2.8777045913058825,0.06366982369921512,0.9461130148433692,none
tff,TFF Detailed,Dealer / Intermediary,dealer,trend26_raw_bn,S&P 500,13w,492,0.0007334518207866747,-0.0014010664226396213,0.00012433445816600669,0.006203446970674598,0.9950503971840846,492,148,148,3.5453207637848734,3.919312312255759,-0.3739915484708858,70.94594594594594,79.05405405405406,-5.104051560408756,-4.924817488819016,0.0014010664226396213,0.3739915484708858,none
tff,TFF Detailed,Dealer / Intermediary,dealer,trend26_raw_bn,S&P 500,26w,479,-0.08480946484310392,-0.18017542212244828,-0.018576348996666468,-0.49623308420441187,0.6197299714629052,479,144,144,5.790693811470003,9.751728225631219,-3.9610344141612153,68.05555555555556,90.27777777777779,-7.5271280412954304,-6.363358327862059,0.18017542212244828,3.9610344141612153,weak/mixed
tff,TFF Detailed,Dealer / Intermediary,dealer,trend26_raw_bn,NASDAQ-100,1w,504,0.02363360537671567,0.03538017533647714,0.001642550775363654,0.5817063567460243,0.5607644890394324,504,151,151,0.33782177913269,0.3618060950447101,-0.023984315912020104,62.913907284768214,56.95364238410596,-1.8042964559091246,-1.4104987129683828,0.03538017533647714,0.023984315912020104,none
tff,TFF Detailed,Dealer / Intermediary,dealer,trend26_raw_bn,NASDAQ-100,4w,501,0.05228034390614114,0.0501240069661474,0.0068210015937120215,0.8125624215969226,0.41646898412062405,501,151,151,1.838309696785313,0.974364427748491,0.863945269036822,69.5364238410596,62.251655629139066,-3.684048843128884,-3.561839057787557,0.0501240069661474,0.863945269036822,none
tff,TFF Detailed,Dealer / Intermediary,dealer,trend26_raw_bn,NASDAQ-100,13w,492,0.022834290438611498,0.003799454344832422,0.0051831039433922355,0.21485189687537828,0.829882789729091,492,148,148,4.432604673296512,5.23625851488852,-0.8036538415920074,68.91891891891892,74.32432432432432,-6.561949139866866,-6.048766508021476,0.003799454344832422,0.8036538415920074,none
tff,TFF Detailed,Dealer / Intermediary,dealer,trend26_raw_bn,NASDAQ-100,26w,479,-0.03609439109339817,-0.13596644858098725,-0.01095622953551695,-0.25558124909516194,0.7982741986758974,479,144,144,8.004937622889175,12.754552438949897,-4.749614816060722,66.66666666666666,94.44444444444444,-8.818962714294502,-7.711785451155279,0.13596644858098725,4.749614816060722,weak/mixed
