dataset,dataset_label,player,player_key,source,source_label,source_kind,source_interpretation,target,horizon,n,positive_n,negative_n,positive_avg_return,negative_avg_return,side_edge_pp,positive_hit_rate,negative_hit_rate,positive_avg_drawdown,negative_avg_drawdown,hac_t,hac_p,better_side,abs_side_edge_pp,evidence
tff,TFF Detailed,Leveraged Funds,lev_money,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,13w,518,108,410,3.6193196323562082,3.3882684924896926,0.2310511398665156,83.33333333333334,74.8780487804878,-3.431569005970627,-5.007251929009231,0.24681898976999264,0.8050483133695181,positive,0.2310511398665156,none
tff,TFF Detailed,Leveraged Funds,lev_money,combined,Combined SP+NQ-VIX,combined,positive = equity risk-on net long; negative = equity risk-on net short,S&P 500,26w,505,31,474,2.0068690888526395,7.105071662683541,-5.098202573830902,51.61290322580645,81.64556962025317,-13.131642199207974,-6.153846202799898,-0.8639766040178386,0.38760074301093184,negative,5.098202573830902,weak/mixed
tff,TFF Detailed,Leveraged Funds,lev_money,sp500,S&P 500 only,single,positive = net long S&P 500; negative = net short S&P 500,S&P 500,26w,505,20,485,2.9777731465587953,6.949405045227327,-3.971631898668532,55.00000000000001,80.82474226804123,-10.165654204956265,-6.4344142767081935,-0.7099394684217856,0.4777416738633463,negative,3.971631898668532,weak/mixed
tff,TFF Detailed,Leveraged Funds,lev_money,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,26w,505,108,397,7.491635280044014,6.601814356729664,0.8898209233143506,88.88888888888889,77.32997481108312,-4.140783096857654,-7.246346180962147,0.6979372014435223,0.4852164679838672,positive,0.8898209233143506,none
tff,TFF Detailed,Leveraged Funds,lev_money,combined,Combined SP+NQ-VIX,combined,positive = equity risk-on net long; negative = equity risk-on net short,NASDAQ-100,1w,530,31,499,-0.2505085422145139,0.43604628669973083,-0.6865548289142447,54.83870967741935,60.320641282565134,-2.970313347810592,-1.3234150781719711,-1.1539621509615214,0.24851568657621367,negative,0.6865548289142447,none
tff,TFF Detailed,Leveraged Funds,lev_money,sp500,S&P 500 only,single,positive = net long S&P 500; negative = net short S&P 500,NASDAQ-100,1w,530,20,510,0.4573768776250384,0.3934780288274804,0.06389884879755803,65.0,59.80392156862745,-2.599650673314588,-1.373472204556177,0.08027314347885241,0.9360200176672029,positive,0.06389884879755803,none
tff,TFF Detailed,Leveraged Funds,lev_money,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,1w,530,108,422,0.4720780755090178,0.37639075852972004,0.09568731697929778,62.03703703703704,59.47867298578199,-1.1982235602407658,-1.476435292142036,0.3506646761957715,0.725839929051094,positive,0.09568731697929778,none
tff,TFF Detailed,Leveraged Funds,lev_money,combined,Combined SP+NQ-VIX,combined,positive = equity risk-on net long; negative = equity risk-on net short,NASDAQ-100,4w,527,31,496,-0.4686265046560869,1.7084835170149535,-2.1771100216710404,38.70967741935484,70.16129032258065,-6.546554262758729,-2.955792186768871,-1.3573423568412044,0.17467245466877457,negative,2.1771100216710404,weak/mixed
tff,TFF Detailed,Leveraged Funds,lev_money,sp500,S&P 500 only,single,positive = net long S&P 500; negative = net short S&P 500,NASDAQ-100,4w,527,20,507,2.129915714003075,1.558741791942834,0.571173922060241,55.00000000000001,68.83629191321499,-4.506342121314907,-3.1141800085928644,0.31111184371213707,0.7557155976606251,positive,0.571173922060241,none
tff,TFF Detailed,Leveraged Funds,lev_money,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,4w,527,108,419,1.943847184553682,1.4867420211534144,0.45710516340026763,75.92592592592592,66.34844868735084,-2.3515984646197756,-3.377192058720632,0.7405045786245684,0.4589938840001047,positive,0.45710516340026763,none
tff,TFF Detailed,Leveraged Funds,lev_money,combined,Combined SP+NQ-VIX,combined,positive = equity risk-on net long; negative = equity risk-on net short,NASDAQ-100,13w,518,31,487,0.4526172340801098,5.478887130252137,-5.026269896172027,45.16129032258064,78.64476386036962,-12.08303165043635,-5.162730765472043,-0.9997452462763564,0.31743380945285127,negative,5.026269896172027,weak/mixed
tff,TFF Detailed,Leveraged Funds,lev_money,sp500,S&P 500 only,single,positive = net long S&P 500; negative = net short S&P 500,NASDAQ-100,13w,518,20,498,1.2319955572506156,5.3365647701692005,-4.104569212918585,50.0,77.71084337349397,-9.334359249426518,-5.425977266987714,-0.6879254956672946,0.4914997002201159,negative,4.104569212918585,weak/mixed
tff,TFF Detailed,Leveraged Funds,lev_money,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,13w,518,108,410,5.5892340395237925,5.069785098587085,0.5194489409367078,85.18518518518519,74.39024390243902,-3.824551697702126,-6.038468977064835,0.39021900130718296,0.6963746121526497,positive,0.5194489409367078,none
tff,TFF Detailed,Leveraged Funds,lev_money,combined,Combined SP+NQ-VIX,combined,positive = equity risk-on net long; negative = equity risk-on net short,NASDAQ-100,26w,505,31,474,2.866794796226753,10.67830042072247,-7.811505624495718,51.61290322580645,84.59915611814345,-16.214578243640833,-6.918298279533335,-0.8608398715391159,0.3893262418732887,negative,7.811505624495718,weak/mixed
tff,TFF Detailed,Leveraged Funds,lev_money,sp500,S&P 500 only,single,positive = net long S&P 500; negative = net short S&P 500,NASDAQ-100,26w,505,20,485,3.007706212482668,10.495321471867683,-7.487615259385015,55.00000000000001,83.71134020618557,-13.400176148464501,-7.245199560994592,-0.9454023838135959,0.3444534856596272,negative,7.487615259385015,weak/mixed
