dataset,dataset_label,player,player_key,signal,target,horizon,n,pearson_r,spearman_r,slope_pp_per_unit,hac_t,hac_p,bucket_n,bucket_top_n,bucket_bottom_n,bucket_top_avg,bucket_bottom_avg,bucket_top_minus_bottom,bucket_top_hit,bucket_bottom_hit,bucket_top_avg_drawdown,bucket_bottom_avg_drawdown,abs_spearman,top_minus_bottom_abs,evidence,evidence_rank
legacy,Legacy,Noncommercial,noncommercial,net_z,NASDAQ-100,1w,479,-0.06427466236637266,-0.05697877813785694,-0.10663682673475929,-1.7082831114085992,0.08758382345823934,479,144,144,0.17554704714938796,0.6185772285915565,-0.44303018144216855,57.638888888888886,62.5,-1.665743430869306,-1.343827392668308,0.05697877813785694,0.44303018144216855,weak/mixed,2
tff,TFF Detailed,Non-reportable,non_reportable,trend26_z,NASDAQ-100,4w,450,-0.122947909108577,-0.1422096899243947,-0.34819569202079664,-1.615886590567894,0.10611883534683536,450,135,135,0.9884533933477819,2.839559789967834,-1.8511063966200523,62.22222222222222,77.77777777777779,-3.464168185217999,-3.078974211760432,0.1422096899243947,1.8511063966200523,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,trend26_z,NASDAQ-100,4w,450,-0.122947909108577,-0.1422096899243947,-0.34819569202079664,-1.615886590567894,0.10611883534683536,450,135,135,0.9884533933477819,2.839559789967834,-1.8511063966200523,62.22222222222222,77.77777777777779,-3.464168185217999,-3.078974211760432,0.1422096899243947,1.8511063966200523,weak/mixed,2
tff,TFF Detailed,Non-reportable,non_reportable,trend26_z,NASDAQ-100,1w,453,-0.06909049423208295,-0.09473521422683133,-0.10415409702492258,-1.611178897935634,0.10714073578731872,453,136,136,0.22817652836245705,0.6253327415783754,-0.3971562132159183,56.61764705882353,66.91176470588235,-1.5111467702198491,-1.600914707272975,0.09473521422683133,0.3971562132159183,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,trend26_z,NASDAQ-100,1w,453,-0.06909049423208295,-0.09473521422683133,-0.10415409702492258,-1.611178897935634,0.10714073578731872,453,136,136,0.22817652836245705,0.6253327415783754,-0.3971562132159183,56.61764705882353,66.91176470588235,-1.5111467702198491,-1.600914707272975,0.09473521422683133,0.3971562132159183,weak/mixed,2
tff,TFF Detailed,Leveraged Funds,lev_money,trend13_z,S&P 500,26w,441,0.163514837633702,0.21673102807556588,0.7962267918640036,1.5863672426380773,0.11265602674725607,441,133,133,9.111728760206233,5.107999163288153,4.00372959691808,81.95488721804512,75.93984962406014,-6.727633000668311,-7.0218971041258555,0.21673102807556588,4.00372959691808,weak/mixed,2
tff,TFF Detailed,Non-reportable,non_reportable,flow4_z,S&P 500,13w,463,-0.130446145720849,-0.06053355856923295,-0.4930879125851427,-1.5753637189711642,0.11517251387210085,463,139,139,2.8346084056792353,4.27321436186635,-1.4386059561871143,72.66187050359713,76.2589928057554,-4.578198589809707,-5.228474281167377,0.06053355856923295,1.4386059561871143,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,flow4_z,S&P 500,13w,463,-0.130446145720849,-0.06053355856923295,-0.4930879125851427,-1.5753637189711642,0.11517251387210085,463,139,139,2.8346084056792353,4.27321436186635,-1.4386059561871143,72.66187050359713,76.2589928057554,-4.578198589809707,-5.228474281167377,0.06053355856923295,1.4386059561871143,weak/mixed,2
legacy,Legacy,Commercial,commercial,net_z,S&P 500,4w,476,0.1028974249101074,0.09591904289024447,0.23399781448891363,1.5526935554749342,0.12049636268154643,476,143,143,1.299931349234667,0.41464738648509564,0.8852839627495712,68.53146853146853,62.93706293706294,-2.4567376450640754,-3.2640135441768727,0.09591904289024447,0.8852839627495712,weak/mixed,2
tff,TFF Detailed,Dealer / Intermediary,dealer,trend13_z,NASDAQ-100,13w,454,0.20119967170370093,0.1950570770070726,1.0606666993877398,1.549140621607982,0.12134791970092476,454,136,136,6.992612835022736,3.3391701416466306,3.653442693376105,71.32352941176471,71.32352941176471,-6.48401295598823,-6.405893105498886,0.1950570770070726,3.653442693376105,weak/mixed,2
legacy,Legacy,Commercial,commercial,flow4_z,NASDAQ-100,4w,472,0.1056437505689135,0.044069257330820594,0.3145767714914889,1.501869796039727,0.1331307384268212,472,142,142,2.4016973333270557,1.5245165138655667,0.877180819461489,69.01408450704226,66.19718309859155,-3.0999038064256315,-3.3067454469105906,0.044069257330820594,0.877180819461489,weak/mixed,2
