dataset,market,category,position_change_metric,horizon,pearson_r,observations
legacy,sp500,nonreportable,net_oi_pct_change,4w_post_release,-0.009593679615992735,523
legacy,sp500,nonreportable,net_oi_pct_change,13w_post_release,-0.04752843580672976,514
legacy,sp500,nonreportable,long_oi_pct_change,1d_post_release,-0.08889927606262249,527
legacy,sp500,nonreportable,long_oi_pct_change,2d_post_release,-0.003907202510523229,527
legacy,sp500,nonreportable,long_oi_pct_change,3d_post_release,0.027300285869714412,527
legacy,sp500,nonreportable,long_oi_pct_change,1w_post_release,0.0021103358822018715,527
legacy,sp500,nonreportable,long_oi_pct_change,2w_post_release,-0.07838619418439054,526
legacy,sp500,nonreportable,long_oi_pct_change,4w_post_release,-0.05648692764527602,523
legacy,sp500,nonreportable,long_oi_pct_change,13w_post_release,0.002741301278971969,514
legacy,sp500,nonreportable,short_oi_pct_change,1d_post_release,-0.1028241571548475,527
legacy,sp500,nonreportable,short_oi_pct_change,2d_post_release,0.015949649565108373,527
legacy,sp500,nonreportable,short_oi_pct_change,3d_post_release,0.038252345053737855,527
legacy,sp500,nonreportable,short_oi_pct_change,1w_post_release,-0.013796892931770811,527
legacy,sp500,nonreportable,short_oi_pct_change,2w_post_release,-0.0867629880398882,526
legacy,sp500,nonreportable,short_oi_pct_change,4w_post_release,-0.05234441816310775,523
legacy,sp500,nonreportable,short_oi_pct_change,13w_post_release,0.04095644685774643,514
legacy,nq,noncommercial,net_oi_pct_change,1d_post_release,-0.00497413433926918,549
legacy,nq,noncommercial,net_oi_pct_change,2d_post_release,-0.03128384699048164,549
legacy,nq,noncommercial,net_oi_pct_change,3d_post_release,0.02936231971840401,549
legacy,nq,noncommercial,net_oi_pct_change,1w_post_release,-0.012823037582312952,549
legacy,nq,noncommercial,net_oi_pct_change,2w_post_release,-0.03351128554608458,548
legacy,nq,noncommercial,net_oi_pct_change,4w_post_release,-0.04151538674019019,545
legacy,nq,noncommercial,net_oi_pct_change,13w_post_release,-0.01909744008144915,536
legacy,nq,noncommercial,long_oi_pct_change,1d_post_release,0.0014999172749140851,549
legacy,nq,noncommercial,long_oi_pct_change,2d_post_release,-0.0500670053322385,549
legacy,nq,noncommercial,long_oi_pct_change,3d_post_release,-0.016977402550911704,549
legacy,nq,noncommercial,long_oi_pct_change,1w_post_release,-0.02091360540641092,549
legacy,nq,noncommercial,long_oi_pct_change,2w_post_release,-0.0007481401172088314,548
legacy,nq,noncommercial,long_oi_pct_change,4w_post_release,-0.02669830099151702,545
