market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
dow,Dow Jones,13w,regime,Mixed,439,2.510923,2.862655,68.109339,-5.155582,-36.758014,7.225148,0.347525,2.510923,0.0,,
dow,Dow Jones,13w,score_sign,Zero,439,2.510923,2.862655,68.109339,-5.155582,-36.758014,7.225148,0.347525,2.510923,0.0,,
dow,Dow Jones,13w,score_intensity,Zero,439,2.510923,2.862655,68.109339,-5.155582,-36.758014,7.225148,0.347525,2.510923,0.0,,
dow,Dow Jones,26w,regime,Mixed,426,4.99958,5.183273,73.70892,-7.425624,-36.758014,8.986278,0.556357,4.99958,0.0,,
dow,Dow Jones,26w,score_sign,Zero,426,4.99958,5.183273,73.70892,-7.425624,-36.758014,8.986278,0.556357,4.99958,0.0,,
dow,Dow Jones,26w,score_intensity,Zero,426,4.99958,5.183273,73.70892,-7.425624,-36.758014,8.986278,0.556357,4.99958,0.0,,
dow,Dow Jones,52w,regime,Mixed,399,10.289239,9.645936,79.448622,-10.838218,-36.758014,12.831358,0.801882,10.289239,0.0,,
dow,Dow Jones,52w,score_sign,Zero,399,10.289239,9.645936,79.448622,-10.838218,-36.758014,12.831358,0.801882,10.289239,0.0,,
dow,Dow Jones,52w,score_intensity,Zero,399,10.289239,9.645936,79.448622,-10.838218,-36.758014,12.831358,0.801882,10.289239,0.0,,
gold,Gold,1d,regime,Mixed,452,0.018542,0.025141,51.769912,-0.388386,-4.978726,1.142394,0.016231,0.018542,0.0,,
gold,Gold,1d,score_sign,Zero,452,0.018542,0.025141,51.769912,-0.388386,-4.978726,1.142394,0.016231,0.018542,0.0,,
gold,Gold,1d,score_intensity,Zero,452,0.018542,0.025141,51.769912,-0.388386,-4.978726,1.142394,0.016231,0.018542,0.0,,
gold,Gold,2d,regime,Mixed,452,0.096149,0.059677,51.769912,-0.626403,-4.978726,1.58173,0.060787,0.096149,0.0,,
gold,Gold,2d,score_sign,Zero,452,0.096149,0.059677,51.769912,-0.626403,-4.978726,1.58173,0.060787,0.096149,0.0,,
gold,Gold,2d,score_intensity,Zero,452,0.096149,0.059677,51.769912,-0.626403,-4.978726,1.58173,0.060787,0.096149,0.0,,
gold,Gold,3d,regime,Mixed,452,0.210943,0.119287,52.876106,-0.757368,-5.277718,1.783604,0.118268,0.210943,0.0,,
gold,Gold,3d,score_sign,Zero,452,0.210943,0.119287,52.876106,-0.757368,-5.277718,1.783604,0.118268,0.210943,0.0,,
gold,Gold,3d,score_intensity,Zero,452,0.210943,0.119287,52.876106,-0.757368,-5.277718,1.783604,0.118268,0.210943,0.0,,
gold,Gold,1w,regime,Mixed,452,0.306929,0.323762,57.079646,-1.071783,-9.541813,2.325767,0.131969,0.306929,0.0,,
gold,Gold,1w,score_sign,Zero,452,0.306929,0.323762,57.079646,-1.071783,-9.541813,2.325767,0.131969,0.306929,0.0,,
gold,Gold,1w,score_intensity,Zero,452,0.306929,0.323762,57.079646,-1.071783,-9.541813,2.325767,0.131969,0.306929,0.0,,
gold,Gold,2w,regime,Mixed,451,0.616478,0.377213,55.432373,-1.591733,-13.399307,3.124629,0.197297,0.616478,0.0,,
gold,Gold,2w,score_sign,Zero,451,0.616478,0.377213,55.432373,-1.591733,-13.399307,3.124629,0.197297,0.616478,0.0,,
gold,Gold,2w,score_intensity,Zero,451,0.616478,0.377213,55.432373,-1.591733,-13.399307,3.124629,0.197297,0.616478,0.0,,
gold,Gold,4w,regime,Mixed,449,1.208873,0.731337,58.351893,-2.286969,-16.34643,4.436877,0.27246,1.208873,0.0,,
gold,Gold,4w,score_sign,Zero,449,1.208873,0.731337,58.351893,-2.286969,-16.34643,4.436877,0.27246,1.208873,0.0,,
gold,Gold,4w,score_intensity,Zero,449,1.208873,0.731337,58.351893,-2.286969,-16.34643,4.436877,0.27246,1.208873,0.0,,
gold,Gold,13w,regime,Mixed,439,3.925174,3.786471,66.742597,-3.774203,-19.044037,8.348077,0.470189,3.925174,0.0,,
gold,Gold,13w,score_sign,Zero,439,3.925174,3.786471,66.742597,-3.774203,-19.044037,8.348077,0.470189,3.925174,0.0,,
gold,Gold,13w,score_intensity,Zero,439,3.925174,3.786471,66.742597,-3.774203,-19.044037,8.348077,0.470189,3.925174,0.0,,
gold,Gold,26w,regime,Mixed,426,8.70844,8.515017,74.647887,-4.57571,-21.222299,12.470456,0.698326,8.70844,0.0,,
gold,Gold,26w,score_sign,Zero,426,8.70844,8.515017,74.647887,-4.57571,-21.222299,12.470456,0.698326,8.70844,0.0,,
gold,Gold,26w,score_intensity,Zero,426,8.70844,8.515017,74.647887,-4.57571,-21.222299,12.470456,0.698326,8.70844,0.0,,
gold,Gold,52w,regime,Mixed,399,19.556626,18.559504,80.451128,-5.091447,-18.135053,19.667265,0.994374,19.556626,0.0,,
gold,Gold,52w,score_sign,Zero,399,19.556626,18.559504,80.451128,-5.091447,-18.135053,19.667265,0.994374,19.556626,0.0,,
gold,Gold,52w,score_intensity,Zero,399,19.556626,18.559504,80.451128,-5.091447,-18.135053,19.667265,0.994374,19.556626,0.0,,
